Game,Region,Game ID,Format,Emulator/Core,Device,Hardware Revision,TreeFrogUI Version,Performance,Audio,Graphics,Status,Required Settings,Notes,Reported By
Destruction Derby Raw,PAL,SCES-02060,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Perfect,Good,Playable,Global default,"There are just a few issues with the menu.",MartStartIV
Die Hard Trilogy,USA,SLUS-00119,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Regular,Playable with Issues,Yes,"In one of the modes, there are FPS stutters.",MartStartIV
Dino Crisis 1,PAL,SLES-02207,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Perfect,Good,Perfect,Global default,"good performance",MartStartIV
Dino Crisis 2,PAL,SLES-03221,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Discworld Noir,PAL,SLES-01549,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Perfect,Global default,"No issues with its execution.",MartStartIV
Disney's The Lion King: Simba's Mighty Adventure,PAL,SLES-03267,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"No issues with its execution.",MartStartIV
Disney Tarzan,PAL,SCES-01519,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"No issues with its execution.",MartStartIV
Dragon Ball - Final Bout,PAL,SLES-00512,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Pefect,Pefect,Pefect,Perfect,Global default,"This is one of the games that works best with pcsx4all.",MartStartIV
Fade to black,USA,SLUS-00236,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Fear Effect 1,PAL,SLES-02685,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
